SchoolDepartment,ProjectTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour
Governance & Policy Studies,Volunteer for a board or commission e-list,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Proofreading and Quality Assurance, Graphic Design, Writing and Editing, Website Programming",2020-01-14,00:00:00
Governance & Policy Studies,Women in Leadership- Dr. Keith,,fbucknell4@clickbank.net,"Video Editing and Production, Website Programming, Social Media Strategy",Hajar El Amrani,"Writing and Editing, Video Editing and Production, Website Programming, Social Media Strategy",15-01-2020,12:00:00 AM
Governance & Policy Studies,Shatter Dreams e-list,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,15-01-2020,00:00:00
Governance and Poli stud,NextGen logo and rollout strategy,,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",15-01-2020,00:00:00
Governance and Policy Stud,State Legislature Appointment,,fbucknell4@clickbank.net,"Strategic Planning and Project Management, Public Relations, Technical Writing, Website Programming, News Writing and Editing",Hajar El Amrani,"Public Relations, News and Media Communication, Social Media Strategy, Website Programming, Writing and Editing",2020-01-17,18:12:00
Governance and Policy Stud,Video Series Update and Posting,,fbucknell4@clickbank.net,"Issue and Risk Management, Social Media Strategy, Video Editing and Production, Website Programming",Hajar El Amrani,"Video Editing and Production, Website Programming, Writing and Editing",17-01-2020,18:20:00
Governance and Poli stud,Shatter Dreams e-list,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,17-01-2020,06:22:00 PM
Governance and Policy Stud,Behavioral Health Survey E-list,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,2020-01-17,06:24:00 PM
Governance and Policy Stud,Volunteer for a board or commission e-list,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Proofreading and Quality Assurance, Graphic Design, Writing and Editing, Website Programming",2020-01-17,18:28:00
Governance and Poli stud,Purchase email addresses,,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,,17-01-2020,06:29:00 PM
Governance and Poli stud,One tenth of One Percent for Behavioral Health,,fbucknell4@clickbank.net,"Strategic Planning and Project Management, Issue and Risk Management, Public Relations, News Writing and Editing, Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy, Website Programming",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Public Relations, News and Media Communication, Social Media Strategy, Technical Documentation, Website Programming, Writing and Editing",17-01-2020,18:33:00
Governance and Poli stud,Happy Holidays E-List,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Writing and Editing, Website Programming",2020-01-17,06:35:00 PM
Governance & Policy Studies,Merry Christmas E-list,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing",17-01-2020,06:37:00 PM
Governance and Poli stud,Women in Leadership- Dona Ponepinto,,fbucknell4@clickbank.net,"Website Programming, Video Editing and Production, Social Media Strategy",Hajar El Amrani,"Video Editing and Production, Website Programming, Writing and Editing, Social Media Strategy",22-01-2020,00:00:00
Governance & Policy Studies,E-Newsletter,,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Website Programming, Writing and Editing",2020-01-24,00:00:00
Governance & Policy Studies,Talking Points,,fbucknell4@clickbank.net,Issue and Risk Management,Hajar El Amrani,Writing and Editing,27-01-2020,00:00:00
Governance and Poli stud,E-Newsletter- Homelessness,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing",2020-01-28,00:00:00
Governance and Policy Stud,Women In Leadership,,fbucknell4@clickbank.net,"Website Programming, Video Editing and Production, Social Media Strategy",Hajar El Amrani,"Social Media Strategy, Video Editing and Production, Website Programming, Writing and Editing, Proofreading and Quality Assurance",29-01-2020,00:00:00
Governance and Poli stud,1/10th Webpage Creation,,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Website Programming",Hajar El Amrani,"Writing and Editing, Website Programming, Graphic Design, Proofreading and Quality Assurance",31-01-2020,00:00:00
Governance and Poli stud,Channel253 Interview 1/10th,,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",2020-02-03,12:00:00 AM
Governance & Policy Studies,News Tribune Editorial Board,,fbucknell4@clickbank.net,"Public Relations, Technical Writing",Hajar El Amrani,Public Relations,2020-02-03,12:00:00 AM
Governance & Policy Studies,KeyPen News Interview 1/10th,,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",2020-02-04,12:00:00 AM
Governance and Poli stud,E-Newsletter,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Website Programming",2020-02-06,12:00:00 AM
Governance & Policy Studies,Mayors letter edits,,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Proofreading and Quality Assurance,07-02-2020,00:00:00
Governance and Poli stud,NextDen Webpage,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing, Graphic Design, Proofreading and Quality Assurance",07-02-2020,12:00:00 AM
Governance and Poli stud,2020 Communications Framework,,fbucknell4@clickbank.net,Strategic Planning and Project Management,Hajar El Amrani,"Proofreading and Quality Assurance, Writing and Editing",2020-02-08,00:00:00
Governance and Poli stud,Opioid Summit Webpage Update,,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Website Programming",Hajar El Amrani,"Website Programming, Writing and Editing",08-02-2020,12:00:00 AM
Governance and Poli stud,Behavioral Health Blog,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming, Writing and Editing",2020-02-12,12:00:00 AM
Governance & Policy Studies,Will Stone Interview-KNKX,,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,13-02-2020,12:00:00 AM
Governance & Policy Studies,NextDen Webpage,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing, Graphic Design, Proofreading and Quality Assurance",13-02-2020,11:04:00 PM
Governance and Poli stud,NextGen Cards,,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Technical Writing",Hajar El Amrani,"Writing and Editing, Graphic Design",2020-02-13,23:05:00
Governance and Poli stud,Printed Newsletter,,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Technical Writing",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",2020-02-13,23:07:00
Governance and Poli stud,Will Stone Interview-KNKX,,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,13-02-2020,23:08:00
Governance and Policy Stud,Opioid Summit Webpage Update,,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Website Programming",Hajar El Amrani,"Website Programming, Writing and Editing",13-02-2020,11:10:00 PM
Governance and Poli stud,News Tribune Editorial Board,,fbucknell4@clickbank.net,"Public Relations, Technical Writing",Hajar El Amrani,Public Relations,2020-02-13,23:12:00
Governance and Poli stud,Channel253 Interview 1/10th,,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",2020-02-13,11:13:00 PM
Governance & Policy Studies,KeyPen News Interview 1/10th,,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",2020-02-13,11:14:00 PM
Governance and Policy Stud,1/10th Webpage Creation,,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Website Programming",Hajar El Amrani,"Writing and Editing, Website Programming, Graphic Design, Proofreading and Quality Assurance",2020-02-13,23:16:00
Governance and Poli stud,Mayors letter edits,,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Proofreading and Quality Assurance,2020-02-13,23:17:00
Governance & Policy Studies,Behavioral Health Blog,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming, Writing and Editing",2020-02-13,11:19:00 PM
Governance & Policy Studies,2020 Communications Framework,,fbucknell4@clickbank.net,Strategic Planning and Project Management,Hajar El Amrani,"Proofreading and Quality Assurance, Writing and Editing",13-02-2020,23:21:00
Governance & Policy Studies,E-Newsletter,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Website Programming",2020-02-13,23:23:00
Governance & Policy Studies,Talking Points,,fbucknell4@clickbank.net,Issue and Risk Management,Hajar El Amrani,Writing and Editing,2020-02-13,23:24:00
Governance & Policy Studies,Women In Leadership,,fbucknell4@clickbank.net,"Website Programming, Video Editing and Production, Social Media Strategy",Hajar El Amrani,"Social Media Strategy, Video Editing and Production, Website Programming, Writing and Editing, Proofreading and Quality Assurance",13-02-2020,23:25:00
Governance and Policy Stud,E-Newsletter- Homelessness,,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing",13-02-2020,23:28:00
Governance & Policy Studies,Women in Leadership- Dona Ponepinto,,fbucknell4@clickbank.net,"Website Programming, Video Editing and Production, Social Media Strategy",Hajar El Amrani,"Video Editing and Production, Website Programming, Writing and Editing, Social Media Strategy",2020-02-13,23:29:00
Governance and Policy Stud,NextGen Cards,,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Technical Writing",Hajar El Amrani,"Writing and Editing, Graphic Design",14-02-2020,12:00:00 AM
Governance and Poli stud,E-Newsletter,,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Website Programming, Writing and Editing",14-02-2020,12:00:00 AM
Governance & Policy Studies,Women in Leadership- Dr. Keith,,fbucknell4@clickbank.net,"Video Editing and Production, Website Programming, Social Media Strategy",Hajar El Amrani,"Writing and Editing, Video Editing and Production, Website Programming, Social Media Strategy",14-02-2020,12:02:00 AM
Financial Eng,County Employee PRA & Records Management PowerPoint,,aoldam5@eepurl.com,"Internal and External Communication, Video Editing and Production",Ahmed Bouzoubaa,"Internal and External Communication, Video Editing and Production",09-01-2020,11:34:00 PM
Financial Eng,IT Remote Access Support,,aoldam5@eepurl.com,Internal and External Communication,Ahmed Bouzoubaa,"Internal and External Communication, Proofreading and Quality Assurance",2020-03-13,09:25:00 PM
Financal Engineering,Intranet redesign,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,"Website Programming, Writing and Editing, Proofreading and Quality Assurance, Graphic Design",13-03-2020,21:30:00
Financial Eng,OpenText Page Redesign,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2020-03-17,09:53:00 PM
Financal Engineering,Workday Video Update,,aoldam5@eepurl.com,Video Editing and Production,Ahmed Bouzoubaa,"Video Editing and Production, Website Programming",23-03-2020,05:37:00 PM
Financial Enginering,Video Best Practices Guide,,aoldam5@eepurl.com,Video Editing and Production,Ahmed Bouzoubaa,Video Editing and Production,23-03-2020,05:51:00 PM
Academic Affairs and Staff Dev,DEI Video Editing,,aoldam5@eepurl.com,Video Editing and Production,Ahmed Bouzoubaa,Video Editing and Production,2020-03-24,20:18:00
Financal Engineering,Avaya IX Workplace documentation,,aoldam5@eepurl.com,"Video Editing and Production, Internal and External Communication",Ahmed Bouzoubaa,"Graphic Design, Proofreading and Quality Assurance, Video Editing and Production",2020-05-11,08:24:00 PM
Financial Eng,Microsoft Teams Webinar Promotion,,aoldam5@eepurl.com,"Video Editing and Production, Internal and External Communication",Ahmed Bouzoubaa,"Video Editing and Production, Internal and External Communication",11-05-2020,20:28:00
Financial Eng,Open Checkbook Video,,aoldam5@eepurl.com,Video Editing and Production,Ahmed Bouzoubaa,"Video Editing and Production, Writing and Editing",11-05-2020,10:03:00 PM
Financial Eng,Chuck Buzzard's retirement,,aoldam5@eepurl.com,Internal and External Communication,Ahmed Bouzoubaa,"Internal and External Communication, Website Programming, Proofreading and Quality Assurance, Writing and Editing",2020-06-10,17:19:00
Financal Engineering,IT Standing Ovation Awards,,aoldam5@eepurl.com,Technical Writing,Ahmed Bouzoubaa,"Proofreading and Quality Assurance, Technical Documentation, Writing and Editing",20-07-2020,16:26:00
Financal Engineering,Office 365 Class Promotion,,aoldam5@eepurl.com,,Ahmed Bouzoubaa,"Writing and Editing, Internal and External Communication, Website Programming",2020-07-20,19:28:00
Financial Enginering,LinkedIn Congratulations to Interns Post,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Social Media Strategy,20-07-2020,07:57:00 PM
Financial Eng,Technology Security Training,,aoldam5@eepurl.com,"Website Programming, Communication Planning/Strategy",Ahmed Bouzoubaa,"Website Programming, Graphic Design, News and Media Communication",2020-07-27,17:39:00
Financial Eng,Smartsheet Support Page,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,"Website Programming, Proofreading and Quality Assurance",2020-08-05,00:47:00
Financal Engineering,Remote Worker Training Video,,aoldam5@eepurl.com,,Ahmed Bouzoubaa,Video Editing and Production,11-08-2020,12:15:00 AM
Financial Enginering,EAM Page Updates,,aoldam5@eepurl.com,,Ahmed Bouzoubaa,Website Programming,2020-08-11,12:16:00 AM
Financal Engineering,GIS Outage Announcement,,aoldam5@eepurl.com,"Website Programming, Internal and External Communication",Ahmed Bouzoubaa,"Website Programming, News and Media Communication",12-08-2020,08:21:00 PM
Financial Enginering,Vendor Questionnaire,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2020-08-18,12:37:00 AM
Safety Engineering & Crisis Management,,,aoldam5@eepurl.com,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Ahmed Bouzoubaa,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",04-09-2020,18:33:00
Financal Engineering,Video Conferencing page,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,"Website Programming, Writing and Editing",04-09-2020,22:13:00
Financial Enginering,Workday Fall Update Announcement,,aoldam5@eepurl.com,"Website Programming, Internal and External Communication",Ahmed Bouzoubaa,"Internal and External Communication, Website Programming",2020-09-11,11:18:00 PM
Financial Eng,Zoom/Teams virtual backgrounds,,aoldam5@eepurl.com,"Graphic Design/Marketing (Brochures, Posters, Reports), Website Programming",Ahmed Bouzoubaa,"Website Programming, Graphic Design",12-09-2020,00:27:00
Financial Eng,Cybersecurity Officer and Data Analyst LinkedIn Posts,,aoldam5@eepurl.com,Social Media Strategy,Ahmed Bouzoubaa,Social Media Strategy,24-09-2020,17:35:00
Financial Eng,CFAPPs link review,,aoldam5@eepurl.com,,Ahmed Bouzoubaa,Website Programming,02-10-2020,22:37:00
Financal Engineering,New Website Coordinator Process,,aoldam5@eepurl.com,Internal and External Communication,Ahmed Bouzoubaa,"Writing and Editing, Internal and External Communication",02-10-2020,10:49:00 PM
Financal Engineering,Skype Shutdown Announcement,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2020-10-07,12:00:00 AM
Financal Engineering,Microsoft Stream Migration,,aoldam5@eepurl.com,,Ahmed Bouzoubaa,,07-10-2020,12:14:00 AM
Academic Affairs & Staff Development,HR Website Updates,,aoldam5@eepurl.com,"Video Editing and Production, Website Programming",Ahmed Bouzoubaa,"Video Editing and Production, Website Programming",2020-10-15,10:56:00 PM
Academic Affairs and Staff Devel,Workday HR Video Update,,aoldam5@eepurl.com,"Video Editing and Production, Website Programming",Ahmed Bouzoubaa,"Graphic Design, Website Programming",28-10-2020,08:06:00 PM
Technical Comm and Media,Standing Ovation Video Promotions,,aoldam5@eepurl.com,"Video Editing and Production, Social Media Strategy",Ahmed Bouzoubaa,"Video Editing and Production, Social Media Strategy",28-10-2020,20:10:00
Technical Communication & Media,Halloween,,aoldam5@eepurl.com,"Website Programming, Internal and External Communication",Ahmed Bouzoubaa,"Website Programming, Internal and External Communication",2020-11-03,00:43:00
Financal Engineering,RPAS Page Updates,,aoldam5@eepurl.com,"Website Programming, Video Editing and Production",Ahmed Bouzoubaa,"Website Programming, Video Editing and Production",03-11-2020,12:49:00 AM
Financial Eng,Review old web team requests,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,06-11-2020,01:17:00
Financal Engineering,Investigate photo issue for Want Ads,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,"Website Programming, Internal and External Communication",06-11-2020,17:11:00
Technical Comm and Media,Veterans Day Gallery,,aoldam5@eepurl.com,,Ahmed Bouzoubaa,"Internal and External Communication, Website Programming",2020-11-17,17:26:00
Administrative and Procedural Engin,Add redirect for Officer Subpoena Page,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2020-11-17,17:41:00
Financial Eng,TPCHD Directory Update and Announcement,,aoldam5@eepurl.com,"Internal and External Communication, Website Programming",Ahmed Bouzoubaa,,2020-11-30,10:01:00 PM
Academic Affairs & Staff Development,Remote Worker Training Video,,aoldam5@eepurl.com,Video Editing and Production,Ahmed Bouzoubaa,Video Editing and Production,2020-12-03,12:22:00 AM
Financial Eng,Update O365 Training Calendar for 2021,,aoldam5@eepurl.com,"Website Programming, Internal and External Communication",Ahmed Bouzoubaa,Website Programming,2020-12-22,10:43:00 PM
Financial Eng,GIS Training Calendar Update,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,22-12-2020,22:46:00
Financal Engineering,Microsoft Edge Announcement,,aoldam5@eepurl.com,"Internal and External Communication, Website Programming",Ahmed Bouzoubaa,"Website Programming, Internal and External Communication",2021-01-04,11:30:00 PM
Financial Eng,Create new security training page,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,07-01-2021,01:45:00
Financial Enginering,Fix Risk Manager link,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,2021-01-13,06:09:00 PM
Financal Engineering,John Humen Retirement Notice,,aoldam5@eepurl.com,Internal and External Communication,Ahmed Bouzoubaa,Internal and External Communication,13-01-2021,18:45:00
Financial Eng,NetMotion Announcement,,aoldam5@eepurl.com,Internal and External Communication,Ahmed Bouzoubaa,Internal and External Communication,14-01-2021,17:46:00
Financial Enginering,Tyler Award Edits,,aoldam5@eepurl.com,"Communication Planning/Strategy, Technical Writing",Ahmed Bouzoubaa,"Writing and Editing, Proofreading and Quality Assurance",22-01-2021,22:54:00
Financial Enginering,Update Communications Directory,,aoldam5@eepurl.com,"Website Programming, Data Collection Tools",Ahmed Bouzoubaa,,2021-02-24,01:00:00
Financal Engineering,NACO Award Submission,,aoldam5@eepurl.com,,Ahmed Bouzoubaa,"Proofreading and Quality Assurance, Event Coordination",24-02-2021,01:15:00 AM
Financal Engineering,Renee Lomax Profile,,aoldam5@eepurl.com,,Ahmed Bouzoubaa,Social Media Strategy,24-02-2021,01:31:00
Financal Engineering,Post spring Office 365 Classes,,aoldam5@eepurl.com,Website Programming,Ahmed Bouzoubaa,Website Programming,24-02-2021,01:40:00 AM
Financal Engineering,Power Outage Announcement,,unvalid,Internal and External Communication,"Ahmed Bouzoubaa, Rachid Khattabi","Public Relations, Writing and Editing",25-09-2020,21:16:00
Social Impact Engineering,Learn how Medicaid program provides crucial health services,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Proofreading and Quality Assurance, News and Media Communication, Website Programming",2018-05-22,17:04:00
Social Impact Engineering,Retirement of Glenna Younkin,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Proofreading and Quality Assurance, Internal and External Communication, Website Programming",2018-06-13,20:31:00
Social Impact Engin,Human Services spotlights World Elder Abuse Awareness Day,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Proofreading and Quality Assurance, News and Media Communication",15-06-2018,00:05:00
Social Impact Eng,Let's get cooking!,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Proofreading and Quality Assurance, Website Programming",25-09-2018,07:16:00 PM
Social Impact Engin,Adopt-A-Family,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Website Programming, Proofreading and Quality Assurance",15-10-2018,08:12:00 PM
Administrative & Procedural Engineering,Facebook Post,,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,Social Media Strategy,17-12-2018,19:52:00
Social Impact Eng,Retirement of Arnold Nufer,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Proofreading and Quality Assurance, Website Programming",2019-01-15,21:34:00
Social Impact Engin,New Employee orientation,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Graphic Design, Website Programming",2019-01-23,16:48:00
Social Impact Eng,February poster,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design, Writing and Editing, Proofreading and Quality Assurance",2019-01-23,16:49:00
Social Impact Engineering,2018 CNA Presentation,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,Graphic Design,2019-01-23,04:51:00 PM
Social Impact Engineering,O'ban questions report,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Writing and Editing, Technical Documentation",23-01-2019,16:53:00
Social Impact Engin,ECEAP registration form,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Website Programming, Public Outreach and Engagement",23-01-2019,16:55:00
Administrative and Procedural Engin,PCDCRC Brochure,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",2019-01-24,10:53:00 PM
Social Impact Eng,ADRC E-News,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,Graphic Design,24-01-2019,11:00:00 PM
Social Impact Engin,Summer 2018 PCHS Employee Newsletter,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Video Editing",2019-01-24,11:05:00 PM
Social Impact Engineering,Veteran's Day special publication (internal),,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",24-01-2019,11:07:00 PM
Social Impact Engineering,Fall 2018 PCHS Employee Newsletter,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Video Editing",2019-01-24,23:09:00
Social Impact Engin,Winter 2019 PCHS Employee newsletter,,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Social Media Strategy, Video Editing, Writing and Editing",24-01-2019,23:10:00
Social Impact Eng,STW Flyers,,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,Technical Documentation,30-01-2019,08:38:00 PM
Social Impact Engineering,STW Events,,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,"Graphic Design, Public Outreach and Engagement",30-01-2019,20:41:00
Social Impact Eng,Resource Fair flyers,,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,"Graphic Design, Public Outreach and Engagement",30-01-2019,20:45:00
Social Impact Engin,Signs,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Proofreading and Quality Assurance, Graphic Design",05-02-2019,20:49:00
Social Impact Engin,Sage Table Flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,Graphic Design,05-02-2019,23:21:00
Social Impact Engineering,PCHS Brochure,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",07-02-2019,00:07:00
Social Impact Engin,Take 1 box,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,Technical Documentation,2019-02-07,12:08:00 AM
Social Impact Engin,2018 Year End Summary,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",07-02-2019,00:11:00
Social Impact Eng,Comment Cards,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Website Programming",2019-02-07,00:15:00
Social Impact Eng,CE trifold brochure,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",08-02-2019,09:22:00 PM
Social Impact Engin,Rapid Rehousing flyer,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",08-02-2019,21:23:00
Social Impact Eng,BTB logo,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",2019-02-12,17:48:00
Social Impact Engineering,Transportation Website,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Public Outreach and Engagement, Proofreading and Quality Assurance, Graphic Design, Website Programming",12-02-2019,05:52:00 PM
Social Impact Eng,ECEAP Rack Card,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Technical Documentation",12-02-2019,09:02:00 PM
Social Impact Engineering,ECEAP post card,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",2019-02-12,21:03:00
Social Impact Engin,Minor Home Repairs Rack Card,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",2019-02-12,21:05:00
Social Impact Engin,Aging into the Future,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Proofreading and Quality Assurance, Public Relations, News and Media Communication",2019-02-20,19:25:00
Social Impact Eng,Blog - Feb 19,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,"Writing and Editing, Social Media Strategy",2019-02-21,12:28:00 AM
Social Impact Eng,AITF Program,,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,"Public Outreach and Engagement, Technical Documentation, Graphic Design",21-02-2019,12:32:00 AM
Social Impact Eng,Aging into the Future,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,,2019-02-22,11:21:00 PM
Social Impact Engin,March Poster,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",26-02-2019,06:06:00 PM
Social Impact Engineering,August: Osage County,,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,News and Media Communication,28-02-2019,20:50:00
Social Impact Engineering,Online Form Accessibility,,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Proofreading and Quality Assurance, Website Programming",28-02-2019,11:52:00 PM
Social Impact Engin,March Poster - ECEAP,,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Technical Documentation",01-03-2019,00:18:00
Social Impact Eng,LTC Providers meeting communication,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,Website Programming,2019-03-04,09:10:00 PM
Social Impact Eng,ADRC E-News 3/19,,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,"Public Outreach and Engagement, Graphic Design",2019-03-04,09:11:00 PM
Social Impact Eng,Social Work month surprise,,rstillgoe7@seesaa.net,Video Editing and Production,Mohammed Fassi,Video Editing and Production,04-03-2019,21:50:00
