SchoolDepartment,CourseTitle,Finish Time,Email,RequiredSkill,Professors,GainedSkill,strartingOrAsgnmtDate,Hour,StartTime
Governance and Policy Stud,Affordable Housing Consortium Talking Points,2019-12-19 00:00:00,fbucknell4@clickbank.net,Event Management and Logistics,Hajar El Amrani,Writing and Editing,2019-12-12,23:21:00,2019-12-12 23:21:00
Governance & Policy Studies,Behavioral Health Survey Intro paragraph,2019-12-20 00:00:00,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Writing and Editing, Proofreading and Quality Assurance",2019-12-12,23:25:00,2019-12-12 23:25:00
Social Impact Eng,Feedback to Strategic Alliance Data Rollout,2020-01-10 00:00:00,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Writing and Editing, Proofreading and Quality Assurance",2019-12-12,23:32:00,2019-12-12 23:32:00
Governance and Policy Stud,Army Navy Food Drive,2020-01-13 00:00:00,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Event Coordination,2019-12-12,23:34:00,2019-12-12 23:34:00
Governance and Policy Stud,Merry Christmas E-list,2020-01-14 00:00:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing",2019-12-19,00:00:00,2019-12-19 00:00:00
Governance and Poli stud,Happy Holidays E-List,2020-01-15 00:00:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Writing and Editing, Website Programming",2019-12-19,00:00:00,2019-12-19 00:00:00
Governance and Policy Stud,Behavioral Health Survey E-list,2020-01-15 00:00:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,2019-12-20,00:00:00,2019-12-20 00:00:00
Governance & Policy Studies,Purchase email addresses,2020-01-15 00:00:00,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,No Skill,2020-01-10,00:00:00,2020-01-10 00:00:00
Governance and Poli stud,State Legislature Appointment,2020-01-17 18:12:00,fbucknell4@clickbank.net,"Strategic Planning and Project Management, Public Relations, Technical Writing, Website Programming, News Writing and Editing",Hajar El Amrani,"Public Relations, News and Media Communication, Social Media Strategy, Website Programming, Writing and Editing",2020-01-13,00:00:00,2020-01-13 00:00:00
Governance & Policy Studies,Volunteer for a board or commission e-list,2020-01-17 18:20:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Proofreading and Quality Assurance, Graphic Design, Writing and Editing, Website Programming",2020-01-14,00:00:00,2020-01-14 00:00:00
Governance & Policy Studies,Women in Leadership- Dr. Keith,2020-01-17 18:22:00,fbucknell4@clickbank.net,"Video Editing and Production, Website Programming, Social Media Strategy",Hajar El Amrani,"Writing and Editing, Video Editing and Production, Website Programming, Social Media Strategy",2020-01-15,00:00:00,2020-01-15 00:00:00
Governance & Policy Studies,Shatter Dreams e-list,2020-01-17 18:24:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,2020-01-15,00:00:00,2020-01-15 00:00:00
Governance and Poli stud,NextGen logo and rollout strategy,2020-01-17 18:28:00,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",2020-01-15,00:00:00,2020-01-15 00:00:00
Governance and Policy Stud,State Legislature Appointment,2020-01-17 18:29:00,fbucknell4@clickbank.net,"Strategic Planning and Project Management, Public Relations, Technical Writing, Website Programming, News Writing and Editing",Hajar El Amrani,"Public Relations, News and Media Communication, Social Media Strategy, Website Programming, Writing and Editing",2020-01-17,18:12:00,2020-01-17 18:12:00
Governance and Policy Stud,Video Series Update and Posting,2020-01-17 18:33:00,fbucknell4@clickbank.net,"Issue and Risk Management, Social Media Strategy, Video Editing and Production, Website Programming",Hajar El Amrani,"Video Editing and Production, Website Programming, Writing and Editing",2020-01-17,18:20:00,2020-01-17 18:20:00
Governance and Poli stud,Shatter Dreams e-list,2020-01-17 18:35:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,2020-01-17,18:22:00,2020-01-17 18:22:00
Governance and Policy Stud,Behavioral Health Survey E-list,2020-01-17 18:37:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,Website Programming,2020-01-17,18:24:00,2020-01-17 18:24:00
Governance and Policy Stud,Volunteer for a board or commission e-list,2020-01-22 00:00:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Proofreading and Quality Assurance, Graphic Design, Writing and Editing, Website Programming",2020-01-17,18:28:00,2020-01-17 18:28:00
Governance and Poli stud,Purchase email addresses,2020-01-24 00:00:00,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,No Skill,2020-01-17,18:29:00,2020-01-17 18:29:00
Governance and Poli stud,One tenth of One Percent for Behavioral Health,2020-01-27 00:00:00,fbucknell4@clickbank.net,"Strategic Planning and Project Management, Issue and Risk Management, Public Relations, News Writing and Editing, Graphic Design/Marketing (Posters, Brochures, Reports), Social Media Strategy, Website Programming",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Public Relations, News and Media Communication, Social Media Strategy, Technical Documentation, Website Programming, Writing and Editing",2020-01-17,18:33:00,2020-01-17 18:33:00
Governance and Poli stud,Happy Holidays E-List,2020-01-28 00:00:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Writing and Editing, Website Programming",2020-01-17,18:35:00,2020-01-17 18:35:00
Governance & Policy Studies,Merry Christmas E-list,2020-01-29 00:00:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing",2020-01-17,18:37:00,2020-01-17 18:37:00
Governance and Poli stud,Women in Leadership- Dona Ponepinto,2020-01-31 00:00:00,fbucknell4@clickbank.net,"Website Programming, Video Editing and Production, Social Media Strategy",Hajar El Amrani,"Video Editing and Production, Website Programming, Writing and Editing, Social Media Strategy",2020-01-22,00:00:00,2020-01-22 00:00:00
Governance & Policy Studies,E-Newsletter,2020-02-03 00:00:00,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Website Programming, Writing and Editing",2020-01-24,00:00:00,2020-01-24 00:00:00
Governance & Policy Studies,Talking Points,2020-02-03 00:00:00,fbucknell4@clickbank.net,Issue and Risk Management,Hajar El Amrani,Writing and Editing,2020-01-27,00:00:00,2020-01-27 00:00:00
Governance and Poli stud,E-Newsletter- Homelessness,2020-02-04 00:00:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing",2020-01-28,00:00:00,2020-01-28 00:00:00
Governance and Policy Stud,Women In Leadership,2020-02-06 00:00:00,fbucknell4@clickbank.net,"Website Programming, Video Editing and Production, Social Media Strategy",Hajar El Amrani,"Social Media Strategy, Video Editing and Production, Website Programming, Writing and Editing, Proofreading and Quality Assurance",2020-01-29,00:00:00,2020-01-29 00:00:00
Governance and Poli stud,1/10th Webpage Creation,2020-02-08 00:00:00,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Website Programming",Hajar El Amrani,"Writing and Editing, Website Programming, Graphic Design, Proofreading and Quality Assurance",2020-01-31,00:00:00,2020-01-31 00:00:00
Governance and Poli stud,Channel253 Interview 1/10th,2020-02-12 00:00:00,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",2020-02-03,00:00:00,2020-02-03 00:00:00
Governance & Policy Studies,News Tribune Editorial Board,2020-02-13 00:00:00,fbucknell4@clickbank.net,"Public Relations, Technical Writing",Hajar El Amrani,Public Relations,2020-02-03,00:00:00,2020-02-03 00:00:00
Governance & Policy Studies,KeyPen News Interview 1/10th,2020-02-13 23:04:00,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",2020-02-04,00:00:00,2020-02-04 00:00:00
Governance and Poli stud,E-Newsletter,2020-02-13 23:05:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Website Programming",2020-02-06,00:00:00,2020-02-06 00:00:00
Governance and Poli stud,2020 Communications Framework,2020-02-13 23:07:00,fbucknell4@clickbank.net,Strategic Planning and Project Management,Hajar El Amrani,"Proofreading and Quality Assurance, Writing and Editing",2020-02-08,00:00:00,2020-02-08 00:00:00
Governance and Poli stud,Behavioral Health Blog,2020-02-13 23:08:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming, Writing and Editing",2020-02-12,00:00:00,2020-02-12 00:00:00
Governance & Policy Studies,Will Stone Interview-KNKX,2020-02-13 23:10:00,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,2020-02-13,00:00:00,2020-02-13 00:00:00
Governance & Policy Studies,NextDen Webpage,2020-02-13 23:12:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing, Graphic Design, Proofreading and Quality Assurance",2020-02-13,23:04:00,2020-02-13 23:04:00
Governance and Poli stud,NextGen Cards,2020-02-13 23:13:00,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Technical Writing",Hajar El Amrani,"Writing and Editing, Graphic Design",2020-02-13,23:05:00,2020-02-13 23:05:00
Governance and Poli stud,Printed Newsletter,2020-02-13 23:14:00,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Technical Writing",Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",2020-02-13,23:07:00,2020-02-13 23:07:00
Governance and Poli stud,Will Stone Interview-KNKX,2020-02-13 23:16:00,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,Public Relations,2020-02-13,23:08:00,2020-02-13 23:08:00
Governance and Policy Stud,Opioid Summit Webpage Update,2020-02-13 23:17:00,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Website Programming",Hajar El Amrani,"Website Programming, Writing and Editing",2020-02-13,23:10:00,2020-02-13 23:10:00
Governance and Poli stud,News Tribune Editorial Board,2020-02-13 23:19:00,fbucknell4@clickbank.net,"Public Relations, Technical Writing",Hajar El Amrani,Public Relations,2020-02-13,23:12:00,2020-02-13 23:12:00
Governance and Poli stud,Channel253 Interview 1/10th,2020-02-13 23:21:00,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",2020-02-13,23:13:00,2020-02-13 23:13:00
Governance & Policy Studies,KeyPen News Interview 1/10th,2020-02-13 23:23:00,fbucknell4@clickbank.net,Public Relations,Hajar El Amrani,"Public Relations, Writing and Editing",2020-02-13,23:14:00,2020-02-13 23:14:00
Governance and Policy Stud,1/10th Webpage Creation,2020-02-13 23:24:00,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Website Programming",Hajar El Amrani,"Writing and Editing, Website Programming, Graphic Design, Proofreading and Quality Assurance",2020-02-13,23:16:00,2020-02-13 23:16:00
Governance and Poli stud,Mayors letter edits,2020-02-13 23:25:00,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Proofreading and Quality Assurance,2020-02-13,23:17:00,2020-02-13 23:17:00
Governance & Policy Studies,Behavioral Health Blog,2020-02-13 23:28:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Website Programming, Writing and Editing",2020-02-13,23:19:00,2020-02-13 23:19:00
Governance & Policy Studies,2020 Communications Framework,2020-02-13 23:29:00,fbucknell4@clickbank.net,Strategic Planning and Project Management,Hajar El Amrani,"Proofreading and Quality Assurance, Writing and Editing",2020-02-13,23:21:00,2020-02-13 23:21:00
Governance & Policy Studies,E-Newsletter,2020-02-14 00:00:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Website Programming",2020-02-13,23:23:00,2020-02-13 23:23:00
Governance & Policy Studies,Talking Points,2020-02-14 00:00:00,fbucknell4@clickbank.net,Issue and Risk Management,Hajar El Amrani,Writing and Editing,2020-02-13,23:24:00,2020-02-13 23:24:00
Governance & Policy Studies,Women In Leadership,2020-02-14 00:02:00,fbucknell4@clickbank.net,"Website Programming, Video Editing and Production, Social Media Strategy",Hajar El Amrani,"Social Media Strategy, Video Editing and Production, Website Programming, Writing and Editing, Proofreading and Quality Assurance",2020-02-13,23:25:00,2020-02-13 23:25:00
Governance and Policy Stud,E-Newsletter- Homelessness,2020-07-02 00:00:00,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing",2020-02-13,23:28:00,2020-02-13 23:28:00
Governance & Policy Studies,Women in Leadership- Dona Ponepinto,2020-07-02 00:00:00,fbucknell4@clickbank.net,"Website Programming, Video Editing and Production, Social Media Strategy",Hajar El Amrani,"Video Editing and Production, Website Programming, Writing and Editing, Social Media Strategy",2020-02-13,23:29:00,2020-02-13 23:29:00
Governance and Policy Stud,NextGen Cards,2020-08-02 00:00:00,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Technical Writing",Hajar El Amrani,"Writing and Editing, Graphic Design",2020-02-14,00:00:00,2020-02-14 00:00:00
Governance and Poli stud,E-Newsletter,Not Finished,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,"Website Programming, Writing and Editing",2020-02-14,00:00:00,2020-02-14 00:00:00
Governance & Policy Studies,Women in Leadership- Dr. Keith,Not Finished,fbucknell4@clickbank.net,"Video Editing and Production, Website Programming, Social Media Strategy",Hajar El Amrani,"Writing and Editing, Video Editing and Production, Website Programming, Social Media Strategy",2020-02-14,00:02:00,2020-02-14 00:02:00
Governance & Policy Studies,Mayors letter edits,Not Finished,fbucknell4@clickbank.net,Technical Writing,Hajar El Amrani,Proofreading and Quality Assurance,2020-07-02,00:00:00,2020-07-02 00:00:00
Governance and Poli stud,NextDen Webpage,Not Finished,fbucknell4@clickbank.net,Website Programming,Hajar El Amrani,"Website Programming, Writing and Editing, Graphic Design, Proofreading and Quality Assurance",2020-07-02,00:00:00,2020-07-02 00:00:00
Governance and Poli stud,Opioid Summit Webpage Update,Not Finished,fbucknell4@clickbank.net,"Graphic Design/Marketing (Posters, Brochures, Reports), Website Programming",Hajar El Amrani,"Website Programming, Writing and Editing",2020-08-02,00:00:00,2020-08-02 00:00:00
Social Impact Engineering,Learn how Medicaid program provides crucial health services,2018-12-17 19:52:00,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Proofreading and Quality Assurance, News and Media Communication, Website Programming",2018-05-22,17:04:00,2018-05-22 17:04:00
Social Impact Engineering,Retirement of Glenna Younkin,2019-01-03 00:18:00,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Proofreading and Quality Assurance, Internal and External Communication, Website Programming",2018-06-13,20:31:00,2018-06-13 20:31:00
Social Impact Engin,Human Services spotlights World Elder Abuse Awareness Day,2019-01-07 19:36:00,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Proofreading and Quality Assurance, News and Media Communication",2018-06-15,00:05:00,2018-06-15 00:05:00
Social Impact Eng,Let's get cooking!,2019-01-10 16:29:00,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Proofreading and Quality Assurance, Website Programming",2018-09-25,19:16:00,2018-09-25 19:16:00
Social Impact Engin,Adopt-A-Family,2019-01-10 20:42:00,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Website Programming, Proofreading and Quality Assurance",2018-10-15,20:12:00,2018-10-15 20:12:00
Administrative & Procedural Engineering,Facebook Post,2019-01-10 22:30:00,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,Social Media Strategy,2018-12-17,19:52:00,2018-12-17 19:52:00
Social Impact Engin,March Poster - ECEAP,2019-01-10 23:11:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Technical Documentation",2019-01-03,00:18:00,2019-01-03 00:18:00
Social Impact Engineering,Email change - BTB form,2019-01-11 00:00:00,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,Website Programming,2019-01-07,19:36:00,2019-01-07 19:36:00
Social Impact Eng,ADRC edits,2019-01-11 16:07:00,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Website Programming, Graphic Design",2019-01-10,16:29:00,2019-01-10 16:29:00
Social Impact Engineering,Community Plan to End Homelessness,2019-01-11 17:25:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",2019-01-10,20:42:00,2019-01-10 20:42:00
Social Impact Eng,Images of Aging movie,2019-01-15 21:34:00,rstillgoe7@seesaa.net,Social Media Strategy,Mohammed Fassi,"Graphic Design, Social Media Strategy",2019-01-10,22:30:00,2019-01-10 22:30:00
Social Impact Engin,PIT Count Training Video,2019-01-23 16:48:00,rstillgoe7@seesaa.net,Video Editing and Production,Mohammed Fassi,"Video Editing and Production, Public Relations",2019-01-10,23:11:00,2019-01-10 23:11:00
Social Impact Engineering,Driving Miss Daisy - Images of Aging,2019-01-23 16:49:00,rstillgoe7@seesaa.net,Unknoun,Mohammed Fassi,"Proofreading and Quality Assurance, Public Outreach and Engagement, Public Relations",2019-01-11,00:00:00,2019-01-11 00:00:00
Social Impact Engineering,Driving Miss Daisy event,2019-01-23 16:51:00,rstillgoe7@seesaa.net,Unknoun,Mohammed Fassi,"Social Media Strategy, Graphic Design",2019-01-11,16:07:00,2019-01-11 16:07:00
Social Impact Engin,Rainier Flow Chart,2019-01-23 16:53:00,rstillgoe7@seesaa.net,Unknoun,Mohammed Fassi,Graphic Design,2019-01-11,17:25:00,2019-01-11 17:25:00
Social Impact Eng,Retirement of Arnold Nufer,2019-01-23 16:55:00,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Proofreading and Quality Assurance, Website Programming",2019-01-15,21:34:00,2019-01-15 21:34:00
Social Impact Engin,New Employee orientation,2019-01-24 22:53:00,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Graphic Design, Website Programming",2019-01-23,16:48:00,2019-01-23 16:48:00
Social Impact Eng,February poster,2019-01-24 23:00:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design, Writing and Editing, Proofreading and Quality Assurance",2019-01-23,16:49:00,2019-01-23 16:49:00
Social Impact Engineering,2018 CNA Presentation,2019-01-24 23:05:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,Graphic Design,2019-01-23,16:51:00,2019-01-23 16:51:00
Social Impact Engineering,O'ban questions report,2019-01-24 23:07:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Writing and Editing, Technical Documentation",2019-01-23,16:53:00,2019-01-23 16:53:00
Social Impact Engin,ECEAP registration form,2019-01-24 23:09:00,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Website Programming, Public Outreach and Engagement",2019-01-23,16:55:00,2019-01-23 16:55:00
Administrative and Procedural Engin,PCDCRC Brochure,2019-01-24 23:10:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance",2019-01-24,22:53:00,2019-01-24 22:53:00
Social Impact Eng,ADRC E-News,2019-01-30 20:38:00,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,Graphic Design,2019-01-24,23:00:00,2019-01-24 23:00:00
Social Impact Engin,Summer 2018 PCHS Employee Newsletter,2019-01-30 20:41:00,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing, Video Editing",2019-01-24,23:05:00,2019-01-24 23:05:00
Social Impact Engineering,Veteran's Day special publication (internal),2019-01-30 20:45:00,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",2019-01-24,23:07:00,2019-01-24 23:07:00
Social Impact Engineering,Fall 2018 PCHS Employee Newsletter,2019-02-07 00:08:00,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Video Editing",2019-01-24,23:09:00,2019-01-24 23:09:00
Social Impact Engin,Winter 2019 PCHS Employee newsletter,2019-02-07 00:15:00,rstillgoe7@seesaa.net,Internal and External Communication,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Social Media Strategy, Video Editing, Writing and Editing",2019-01-24,23:10:00,2019-01-24 23:10:00
Social Impact Eng,STW Flyers,2019-02-07 22:09:00,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,Technical Documentation,2019-01-30,20:38:00,2019-01-30 20:38:00
Social Impact Engineering,STW Events,2019-02-08 18:36:00,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,"Graphic Design, Public Outreach and Engagement",2019-01-30,20:41:00,2019-01-30 20:41:00
Social Impact Eng,Resource Fair flyers,2019-02-12 17:48:00,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,"Graphic Design, Public Outreach and Engagement",2019-01-30,20:45:00,2019-01-30 20:45:00
Social Impact Engin,Take 1 box,2019-02-12 21:03:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,Technical Documentation,2019-02-07,00:08:00,2019-02-07 00:08:00
Social Impact Eng,Comment Cards,2019-02-12 21:05:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Website Programming",2019-02-07,00:15:00,2019-02-07 00:15:00
Social Impact Eng,Socrata Updates,2019-02-20 19:25:00,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Website Programming, Graphic Design",2019-02-07,22:09:00,2019-02-07 22:09:00
Social Impact Eng,Age of Adeline,2019-02-21 00:28:00,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Public Outreach and Engagement, News and Media Communication, Proofreading and Quality Assurance, Writing and Editing",2019-02-08,18:36:00,2019-02-08 18:36:00
Social Impact Eng,BTB logo,2019-02-21 00:32:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",2019-02-12,17:48:00,2019-02-12 17:48:00
Social Impact Engineering,ECEAP post card,2019-02-22 23:21:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",2019-02-12,21:03:00,2019-02-12 21:03:00
Social Impact Engin,Minor Home Repairs Rack Card,2019-02-26 18:06:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",2019-02-12,21:05:00,2019-02-12 21:05:00
Social Impact Engin,Aging into the Future,2019-02-28 20:50:00,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,"Proofreading and Quality Assurance, Public Relations, News and Media Communication",2019-02-20,19:25:00,2019-02-20 19:25:00
Social Impact Eng,Blog - Feb 19,2019-02-28 23:52:00,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,"Writing and Editing, Social Media Strategy",2019-02-21,00:28:00,2019-02-21 00:28:00
Social Impact Eng,AITF Program,2019-03-04 21:10:00,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,"Public Outreach and Engagement, Technical Documentation, Graphic Design",2019-02-21,00:32:00,2019-02-21 00:32:00
Social Impact Eng,Aging into the Future,2019-03-04 21:11:00,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,No Skill,2019-02-22,23:21:00,2019-02-22 23:21:00
Social Impact Engin,March Poster,2019-03-04 21:52:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Technical Documentation",2019-02-26,18:06:00,2019-02-26 18:06:00
Social Impact Engineering,August: Osage County,2019-03-04 22:39:00,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,News and Media Communication,2019-02-28,20:50:00,2019-02-28 20:50:00
Social Impact Engineering,Online Form Accessibility,2019-03-05 20:07:00,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Proofreading and Quality Assurance, Website Programming",2019-02-28,23:52:00,2019-02-28 23:52:00
Social Impact Eng,LTC Providers meeting communication,2019-03-08 16:44:00,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,Website Programming,2019-03-04,21:10:00,2019-03-04 21:10:00
Social Impact Eng,ADRC E-News 3/19,2019-03-08 21:50:00,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,"Public Outreach and Engagement, Graphic Design",2019-03-04,21:11:00,2019-03-04 21:11:00
Social Impact Engin,AITF Invitation (formal),2019-03-09 19:51:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance",2019-03-04,21:52:00,2019-03-04 21:52:00
Social Impact Eng,OMGosh Now What?,2019-03-11 17:56:00,rstillgoe7@seesaa.net,News Writing and Editing,Mohammed Fassi,News and Media Communication,2019-03-04,22:39:00,2019-03-04 22:39:00
Social Impact Engin,BTB Presentation Poster,2019-03-11 18:32:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design, Proofreading and Quality Assurance, Public Outreach and Engagement",2019-03-05,20:07:00,2019-03-05 20:07:00
Social Impact Engin,Pete Farewell Invite,2019-03-11 20:22:00,rstillgoe7@seesaa.net,Event Management and Logistics,Mohammed Fassi,"Graphic Design, Proofreading and Quality Assurance, Writing and Editing",2019-03-08,16:44:00,2019-03-08 16:44:00
Social Impact Eng,ECEAP inquiry form,2019-03-13 17:07:00,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,Website Programming,2019-03-08,21:50:00,2019-03-08 21:50:00
Social Impact Eng,Recovery Month Poster,2019-03-13 17:09:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Technical Documentation",2019-03-09,19:51:00,2019-03-09 19:51:00
Social Impact Engin,CAP webpages and homepage,2019-03-14 22:19:00,rstillgoe7@seesaa.net,Website Programming,Mohammed Fassi,"Public Outreach and Engagement, Graphic Design, Website Programming, Writing and Editing",2019-03-11,17:56:00,2019-03-11 17:56:00
Social Impact Engineering,Veterans bags,2019-03-15 18:31:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Technical Documentation, Graphic Design",2019-03-11,18:32:00,2019-03-11 18:32:00
Social Impact Engineering,Farewell Blog,2019-03-19 16:07:00,rstillgoe7@seesaa.net,Technical Writing,Mohammed Fassi,"Social Media Strategy, Writing and Editing",2019-03-11,20:22:00,2019-03-11 20:22:00
Social Impact Eng,Poster,2019-03-28 16:01:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Technical Documentation",2019-03-13,17:07:00,2019-03-13 17:07:00
Social Impact Eng,Pre School Teacher Appreciation Day Post,2019-03-28 16:09:00,rstillgoe7@seesaa.net,"Graphic Design/Marketing (Posters, Brochures, Reports)",Mohammed Fassi,"Graphic Design, Public Outreach and Engagement, Social Media Strategy",2019-03-13,17:09:00,2019-03-13 17:09:00
